5		 2	 2		 	 2		 4
7		 2	 2		 	 2		 6
11		 3	 2		 	 3		 4
13		 3	 6		 	 3		 2
17		 3	 4		 	 3		 10
19		 3	 4		 	 3		 12
23		 4	 2		 	 4		 4
29		 4	 3		 	 4		 6
31		 4	 6		 	 4		 4
37		 4	 5		 	 4		 10
41		 4	 2		 	 4		 16
43		 4	 8		 	 4		 14
47		 5	 11		 	 8		 4
53		 5	 13		 	 11		 4
59		 5	 18		 	 10		 12
61		 4	 10		 	 4		 26
67		 5	 12		 	 5		 8
71		 5	 21		 	 9		 6
73		 4	 21		 	 4		 40
79		 5	 10		 	 5		 6
83		 5	 4		 	 5		 20
89		 5	 4		 	 18		 8
97		 5	 18		 	 18		 16
101		 5	 13		 	 5		 8
103		 5	 36		 	 5		 22
107		 5	 5		 	 5		 36
109		 5	 14		 	 5		 18
113		 5	 12		 	 5		 28
127		 5	 16		 	 5		 32
131		 5	 11		 	 8		 36
137		 5	 12		 	 5		 46
139		 5	 36		 	 5		 22
149		 5	 19		 	 5		 56
151		 6	 37		 	 33		 4
157		 5	 16		 	 5		 50
163		 6	 7		 	 6		 18
167		 6	 37		 	 8		 16
173		 7	 2		 	 34		 4
179		 6	 30		 	 8		 4
181		 6	 19		 	 39		 2
191		 7	 5		 	 24		 4
193		 7	 64		 	 61		 4
197		 6	 11		 	 6		 28
199		 7	 31		 	 15		 2
211		 6	 32		 	 56		 6
223		 6	 31		 	 11		 20
227		 6	 80		 	 28		 8
229		 6	 71		 	 6		 22
233		 6	 8		 	 10		 24
239		 6	 4		 	 6		 36
241		 6	 15		 	 32		 10
251		 6	 3		 	 25		 2
257		 7	 83		 	 19		 8
263		 7	 7		 	 20		 4
269		 7	 23		 	 29		 4
271		 6	 101		 	 14		 48
277		 7	 43		 	 42		 4
281		 6	 73		 	 16		 32
283		 7	 23		 	 81		 8
293		 6	 43		 	 6		 32
307		 7	 20		 	 11		 4
311		 7	 95		 	 37		 4
313		 7	 41		 	 23		 6
317		 6	 10		 	 11		 44
331		 6	 57		 	 13		 36
337		 6	 5		 	 6		 40
347		 6	 17		 	 8		 100
349		 8	 72		 	 21		 2
353		 7	 30		 	 16		 4
359		 6	 49		 	 6		 48
367		 8	 22		 	 80		 8
373		 7	 20		 	 52		 4
379		 7	 6		 	 53		 10
383		 7	 13		 	 12		 12
389		 8	 17		 	 94		 4
397		 7	 53		 	 15		 8
401		 7	 20		 	 86		 4
409		 7	 93		 	 14		 4
419		 7	 67		 	 26		 6
421		 8	 151		 	 118		 2
431		 7	 143		 	 9		 6
433		 7	 35		 	 123		 2
439		 8	 27		 	 25		 4
443		 7	 165		 	 43		 12
449		 7	 118		 	 61		 8
457		 7	 65		 	 9		 14
461		 7	 28		 	 12		 14
463		 8	 4		 	 17		 4
467		 7	 38		 	 23		 16
479		 7	 219		 	 51		 16
487		 8	 110		 	 63		 2
491		 7	 13		 	 94		 8
499		 7	 23		 	 13		 26
503		 7	 19		 	 15		 20
509		 7	 52		 	 20		 12
521		 8	 99		 	 51		 2
523		 8	 28		 	 10		 2
541		 7	 8		 	 9		 2
547		 8	 10		 	 209		 2
557		 8	 11		 	 19		 8
563		 8	 129		 	 122		 4
569		 7	 107		 	 12		 16
571		 8	 32		 	 151		 2
577		 7	 115		 	 23		 16
587		 7	 6		 	 23		 40
593		 7	 183		 	 12		 36
599		 8	 56		 	 20		 8
601		 7	 23		 	 7		 14
607		 8	 54		 	 298		 2
613		 7	 11		 	 22		 14
617		 8	 106		 	 186		 4
619		 9	 71		 	 184		 2
631		 7	 241		 	 52		 26
641		 7	 8		 	 7		 28
643		 8	 6		 	 220		 2
647		 7	 284		 	 9		 26
653		 7	 103		 	 39		 36
659		 8	 7		 	 224		 4
661		 8	 173		 	 84		 6
673		 8	 23		 	 30		 8
677		 7	 65		 	 18		 22
