1889		 9	 33		 	 478		 4
1901		 8	 207		 	 142		 12
1907		 8	 146		 	 47		 28
1913		 9	 43		 	 381		 4
1931		 8	 9		 	 64		 16
1933		 9	 58		 	 548		 4
1949		 9	 209		 	 484		 4
1951		 8	 73		 	 34		 30
1973		 8	 281		 	 24		 14
1979		 9	 19		 	 208		 2
1987		 9	 180		 	 163		 4
1993		 9	 353		 	 363		 2
